EXEC AddVehicle '1', 'pszz 1110', '1503744644230065'
EXEC AddVehicle '2', 'kmvj 2271', '2250883486568355'
EXEC AddVehicle '3', 'xefo 0837', '2344326554236184'
EXEC AddVehicle '4', 'hggy 0784', '7572903483447640'
EXEC AddVehicle '5', 'wbcr 5034', '3123055388946135'
EXEC AddVehicle '6', 'oeka 8781', '8848239313353830'
EXEC AddVehicle '7', 'ojgr 8223', '8430163254410559'
EXEC AddVehicle '8', 'kidw 5231', '1263456681329454'
EXEC AddVehicle '9', 'kczj 7817', '7004219177733585'
EXEC AddVehicle '10', 'blgi 9168', '1910175990081546'
EXEC AddVehicle '11', 'jzyv 9801', '1703485926077390'
EXEC AddVehicle '12', 'bcql 5211', '2233832624580117'
EXEC AddVehicle '13', 'dxvo 5961', '5953019308791505'
EXEC AddVehicle '14', 'lxhc 5863', '9767155939207729'
EXEC AddVehicle '15', 'alpu 9315', '6884767805115678'
EXEC AddVehicle '16', 'gwou 4194', '3833124514355971'
EXEC AddVehicle '17', 'sihm 7892', '9566449710921906'
EXEC AddVehicle '18', 'ajan 0542', '7059067701012841'
EXEC AddVehicle '19', 'heti 1753', '7096833130749727'
EXEC AddVehicle '20', 'foqy 7795', '7769084966159749'
EXEC AddVehicle '21', 'kwqs 6533', '9885809422501917'
EXEC AddVehicle '22', 'pije 1528', '4112996913005853'
EXEC AddVehicle '23', 'lgld 1586', '0194838359766490'
EXEC AddVehicle '24', 'lucc 8076', '4293057136896246'
EXEC AddVehicle '25', 'quyp 3574', '3227872385531912'
EXEC AddVehicle '26', 'wfzq 1460', '1023406815030993'
EXEC AddVehicle '27', 'cbhq 8997', '9417075239914680'
EXEC AddVehicle '28', 'kcmh 0625', '0389763933119489'
EXEC AddVehicle '29', 'iqjj 5589', '0574126857873778'
EXEC AddVehicle '30', 'jege 5825', '2898091441845010'
EXEC AddVehicle '31', 'coot 9698', '3140489873487010'
EXEC AddVehicle '32', 'xwou 4279', '2346788551893984'
EXEC AddVehicle '33', 'bzff 1050', '7740931901398122'
EXEC AddVehicle '34', 'alin 4504', '5813852671533617'
EXEC AddVehicle '35', 'hpch 0511', '6382710795915634'
EXEC AddVehicle '36', 'xyse 6305', '4608690043295827'
EXEC AddVehicle '37', 'cnad 8099', '4346413280861881'
EXEC AddVehicle '38', 'ylay 9700', '7870440626364657'
EXEC AddVehicle '39', 'onzm 3684', '2551830507546588'
EXEC AddVehicle '40', 'wmtb 7936', '7113256965614273'
EXEC AddVehicle '41', 'mbpj 4703', '7225088200540112'
EXEC AddVehicle '42', 'szng 5391', '8489766277099371'
EXEC AddVehicle '43', 'xfpu 3316', '1254009935402238'
EXEC AddVehicle '44', 'wefk 1296', '8793538346540242'
EXEC AddVehicle '45', 'vueu 3511', '6689557261406476'
EXEC AddVehicle '46', 'hhkd 3597', '2392443601418698'
EXEC AddVehicle '47', 'tlfm 1393', '7455771655172825'
EXEC AddVehicle '48', 'yhkw 7462', '0852335492411628'
EXEC AddVehicle '49', 'ilmx 4799', '9410750745785172'
EXEC AddVehicle '50', 'enez 2549', '2080755648759793'
EXEC AddVehicle '51', 'ilfq 8779', '7251521740785732'
EXEC AddVehicle '52', 'lddv 0111', '5676939381706686'
EXEC AddVehicle '53', 'jzqj 2329', '8658590929491845'
EXEC AddVehicle '54', 'acnp 9273', '8716233784150342'
EXEC AddVehicle '55', 'ajnb 3992', '6756262303803922'
EXEC AddVehicle '56', 'coct 0233', '5524365042484359'
EXEC AddVehicle '57', 'szcg 5887', '9073096534050439'
EXEC AddVehicle '58', 'qlct 4414', '9318434901818186'
